,id,corpus_id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes,dataset_name,dataset_idx,image_link
14890,,,Exaudi deus*,g00785,*,,,PL-WRu I F 416,,172v,,,,,,,http://cantus.ispan.pl/source/41816,,,Exaudi deus*,,,,,,http://cantus.ispan.pl/node/42668
14902,,,Exaudi Deus orationem meam et ne ,g00785,,,,F-Pn : Ms Lat 12584,,157v,,,,feast_0639,genre_in,,http://musmed.eu/source/13399,,,Exaudi Deus orationem meam et ne dispexeris deprecationem meam intende in me et exaudi me,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b8422977w/f318.item.zoom
14903,,,Exaudi Deus orationem meam et ne ,g00785,,,,F-Pn : Ms Lat 00780,,046r,,,,feast_0639,genre_in,,http://musmed.eu/source/12990,,,Exaudi Deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b6000736q/f99.image
14904,,,Exaudi Deus orationem meam et ne ,g00785,,,,I-BGc : MA 239 (Gamma III.18),,054v,,,,feast_0639,genre_in,,http://musmed.eu/source/8805,,,Exaudi Deus orationem meam et ne dispexeris deprecationem meam intende in me et exaudi me,,,,,,https://www.bdl.servizirl.it/bdl/bookreader/index.html?path=fe&cdOggetto=3903#page/116/mode/1up
14905,,,Exaudi Deus orationem meam et ne ,g00785,,,,V-CVbav : Vat.lat.04770,,053r,,,,feast_0637,genre_in,,http://musmed.eu/source/29524,,,Exaudi Deus orationem meam et ne dispexeris deprecationem meam intende in me et exaudi me,,,,,,https://digi.vatlib.it/view/MSS_Vat.lat.4770/109
14906,,,Exaudi Deus orationem meam et ne ,g00785,,,,GB-Lbl : Egerton 0857,,024r,,,,feast_0639,genre_in,,http://musmed.eu/source/29583,,,Exaudi Deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,https://manuscrits-france-angleterre.org/view3if/pl/ark:/81055/vdc_100056033061.0x000001/f54
14907,,,Exaudi Deus orationem meam et ne ,g00785,,,,V-CVbav : Vat.lat.05319,,061v,,,,feast_0639,genre_in,,http://musmed.eu/source/14915,,,Exaudi Deus orationem meam et ne dispexeris deprecationem meam intende in me et exaudi me,,,,,,https://digi.vatlib.it/view/MSS_Vat.lat.5319/130
14908,,,Exaudi Deus orationem meam et ne ,g00785,,,,CH-SGs : Cod 0340,,110,,,,feast_0639,genre_in,,http://musmed.eu/source/14274,,,Exaudi Deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,https://www.e-codices.unifr.ch/en/csg/0340/110/0/Sequence-487
14909,,,Exaudi Deus orationem meam et ne ,g00785,,,,D-B : Ms mus 40078,,082v,,,,feast_0639,genre_in,,http://musmed.eu/source/8817,,,Exaudi Deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN782404677&PHYSID=PHYS_0168&DMDID=DMDLOG_0001
14910,,,Exaudi Deus orationem meam et ne ,g00785,5,,,F-Pn : NAL 01414,,032v,,,,feast_0639,genre_in,,http://musmed.eu/source/28426,,,Exaudi Deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b525113345/f70.image
14913,,,Exaudi deus orationem meam et ne ,g00785,,,,F-Pn : Ms Lat 18010,,15v,,,,feast_0639,genre_in,,http://musmed.eu/source/13514,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b84262769/f34.image
14915,,,Exaudi deus orationem meam et ne ,g00785,5,,,F-Pn : NAL 01414,,127r,,,,,genre_in,,http://musmed.eu/source/28426,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b525113345/f259.image
